dbms,index_mode,index_label,query_id,query_name,median_ms,mean_ms,min_ms,max_ms,std_ms,p95,p99,baseline_median_ms,relative_effect
postgres,idx_student_id_only,Only student_id index,Q2,Date range filtering by created_at,108.9115,108.552201,89.132,151.177,6.634209520399514,116.47484999999999,127.18170999999998,109.5805,1.0061426020209068
postgres,all_indexes,All benchmark indexes,Q3,Low-selectivity filtering by status,46.5585,45.488586000000005,25.531,56.151,4.916289535554371,49.4758,51.01011,109.6135,2.354317686351579
postgres,idx_course_score_only,Only composite index on course_id + score,Q3,Low-selectivity filtering by status,108.89150000000001,107.94812300000001,87.946,135.717,5.712752388097939,113.5634,120.29160999999999,109.6135,1.0066304532493353
postgres,idx_created_at_only,Only created_at index,Q3,Low-selectivity filtering by status,108.75450000000001,108.067323,87.803,141.254,5.708488196024859,113.6267,122.46117999999998,109.6135,1.0078985237392475
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q3,Low-selectivity filtering by status,46.525,45.369246,29.816,58.75,4.592595752864957,48.9211,50.94287,109.6135,2.356012896292316
postgres,idx_status_only,Only status index,Q3,Low-selectivity filtering by status,46.3965,43.932612,23.839,53.478,6.584905986748051,48.441300000000005,49.87988,109.6135,2.3625381224876874
postgres,idx_student_id_only,Only student_id index,Q3,Low-selectivity filtering by status,109.1745,109.21449199999999,89.837,144.444,6.284555859269955,119.04329999999997,129.97288,109.6135,1.0040210855098948
postgres,all_indexes,All benchmark indexes,Q4,Combined filtering by status and created_at,30.762999999999998,29.690985,15.238,45.392,4.590400908120364,34.20885,39.565329999999996,109.2685,3.5519455189675915
postgres,idx_course_score_only,Only composite index on course_id + score,Q4,Combined filtering by status and created_at,108.747,107.75410000000001,86.48,134.061,5.5377937400654025,113.02759999999999,120.52873,109.2685,1.00479553458946
postgres,idx_created_at_only,Only created_at index,Q4,Combined filtering by status and created_at,60.678,57.102614,37.848,78.789,7.423497334253961,64.3339,67.15776,109.2685,1.8007927090543525
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q4,Combined filtering by status and created_at,30.9735,29.633614,13.381,45.465,4.945662098910575,32.97335,34.493649999999995,109.2685,3.527806027733385
postgres,idx_status_only,Only status index,Q4,Combined filtering by status and created_at,93.643,93.458319,74.062,133.599,5.598895782493382,101.09249999999999,111.45589,109.2685,1.1668624456713261
postgres,idx_student_id_only,Only student_id index,Q4,Combined filtering by status and created_at,109.496,109.501166,87.931,157.322,7.735070863392638,121.73805,134.9966,109.2685,0.9979222985314533
postgres,all_indexes,All benchmark indexes,Q5,Sort by created_at DESC with LIMIT,30.7855,29.90337,14.539,44.879,4.127346199648361,33.630250000000004,35.14114,190.7685,6.196699745009826
postgres,idx_course_score_only,Only composite index on course_id + score,Q5,Sort by created_at DESC with LIMIT,187.2215,187.003707,166.344,216.735,5.8084641859402355,194.41514999999998,207.21922,190.7685,1.0189454736769015
postgres,idx_created_at_only,Only created_at index,Q5,Sort by created_at DESC with LIMIT,30.883499999999998,29.159144,12.834,40.627,5.4372708657682045,33.0522,34.84251,190.7685,6.177036281509544
